Turnuva,Hafta,Tarih,Ev Sahibi,Ev Sırası,Deplasman,Deplasman Sırası,Seyirci,Skor
Süper Lig,25,24 Şub 2025,Galatasaray,1,Fenerbahçe,2,51372.0,0:0
Süper Lig,6,21 Eyl 2024,Fenerbahçe,2,Galatasaray,1,44283.0,1:3
Süper Lig,37,19 May 2024,Galatasaray,1,Fenerbahçe,2,53775.0,0:1
TFF Süper Kupa,Final,7 Nis 2024,Galatasaray,-,Fenerbahçe,-,,3:0
Süper Lig,18,24 Ara 2023,Fenerbahçe,1,Galatasaray,2,45401.0,0:0
Süper Lig,37,4 Haz 2023,Galatasaray,1,Fenerbahçe,2,50453.0,3:0
Süper Lig,18,8 Oca 2023,Fenerbahçe,2,Galatasaray,1,45798.0,0:3
Süper Lig,32,10 Nis 2022,Fenerbahçe,3,Galatasaray,13,43878.0,2:0
Süper Lig,13,21 Kas 2021,Galatasaray,5,Fenerbahçe,6,47678.0,1:2
Süper Lig,24,6 Şub 2021,Fenerbahçe,1,Galatasaray,3,,0:1
