Tarih,Ev Sahibi,Deplasman,Skor,Ev Sahibi Form,Deplasman Form
24-02-2025,Galatasaray,Fenerbahçe,0:0,WWWDW,DWWDW
21-09-2024,Fenerbahçe,Galatasaray,1:3,WWDWW,WLWWW
19-05-2024,Galatasaray,Fenerbahçe,0:1,WDWWW,WWDWL
07-04-2024,Galatasaray,Fenerbahçe,3:0,WWWWD,DWWWW
24-12-2023,Fenerbahçe,Galatasaray,0:0,WDWDW,WWDWD
04-06-2023,Galatasaray,Fenerbahçe,3:0,WWWWD,DWWWW
08-01-2023,Fenerbahçe,Galatasaray,0:3,LWWWD,WWWDL
10-04-2022,Fenerbahçe,Galatasaray,2:0,WWLWD,LWLWW
21-11-2021,Galatasaray,Fenerbahçe,1:2,LLWDW,WDLLW
06-02-2021,Fenerbahçe,Galatasaray,0:1,WDWWL,LWWWD
